Date,Description,Sub-description,Status,Type of Transaction,Amount
2025-05-29,real canadian superstore,Calgary Ab,posted,Debit,30.64
2025-05-27,sobeys,Calgary Ab (Apple Pay),posted,Debit,26.36
2025-05-25,t&t supermarket,Calgary Ab (Apple Pay),posted,Debit,25
2025-05-24,sobeys liquor,Calgary Ab (Apple Pay),posted,Debit,39
2025-05-24,sobeys,Calgary Ab (Apple Pay),posted,Debit,9.89
2025-05-24,t&t supermarket,Calgary Ab (Apple Pay),posted,Debit,48.56
2025-05-19,everest wine & spirits,Airdrie Ab (Apple Pay),posted,Debit,17.39
2025-05-18,zheng supermarket,Calgary Ab,posted,Debit,29.25
2025-05-18,real canadian superstore,Calgary Ab (Apple Pay),posted,Debit,68.13
2025-05-18,xin chao coffee,Calgary Ab (Apple Pay),posted,Debit,19.06
2025-05-17,smittys,Calgary Ab (Apple Pay),posted,Debit,54.19
2025-05-17,telus,Edmonton Ab,posted,Debit,84
2025-05-16,bam green,Oak Bluff Mb,posted,Debit,322.43
2025-05-16,sobeys,Calgary Ab (Apple Pay),posted,Debit,14.13
2025-05-13,cibc,Toronto,posted,Credit,-481.78
2025-05-11,real canadian superstore,Calgary Ab (Apple Pay),posted,Debit,13.81
2025-05-10,winners,Calgary Ab (Apple Pay),posted,Debit,4.19
2025-05-10,cafe,Calgary Ab (Apple Pay),posted,Debit,47.87
2025-05-06,real canadian superstore,Calgary Ab (Apple Pay),posted,Debit,23.93
2025-05-06,t&t supermarket,Calgary Ab (Apple Pay),posted,Debit,4.45
2025-05-05,wah hing meat shop,Calgary Ab,posted,Debit,129.8
2025-05-04,h mart,Calgary Ab (Apple Pay),posted,Debit,5.99
2025-05-04,pet planet,Calgary Ab (Apple Pay),posted,Debit,45.65
2025-05-03,t&t supermarket,Calgary Ab (Apple Pay),posted,Debit,24.27
2025-05-03,interest charges,,posted,Debit,29.87
2025-05-03,annual fee,,posted,Debit,150
2025-05-03,sobeys,Calgary Ab (Apple Pay),posted,Debit,5.99
2025-05-02,t&t supermarket,Calgary Ab (Apple Pay),posted,Debit,13.85